,n_trees,max_depth,n_estimators,subportion,n_samples,n_runs,mean_prediction,variance_prediction
15,20,3,30,0.7,30,35,"tf.Tensor(
[[0.04496286]
 [0.04496286]
 [0.04496286]
 ...
 [9.930338  ]
 [9.930338  ]
 [9.930338  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.08502508]
 [0.08502508]
 [0.08502508]
 ...
 [0.3003482 ]
 [0.3003482 ]
 [0.3003482 ]], shape=(1700, 1), dtype=float32)"
16,20,3,30,0.7,15,35,"tf.Tensor(
[[0.04528257]
 [0.04528257]
 [0.04528257]
 ...
 [9.948904  ]
 [9.948904  ]
 [9.948904  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10250748]
 [0.10250748]
 [0.10250748]
 ...
 [0.2659438 ]
 [0.2659438 ]
 [0.2659438 ]], shape=(1700, 1), dtype=float32)"
17,20,3,30,0.7,10,35,"tf.Tensor(
[[0.04176523]
 [0.04176523]
 [0.04176523]
 ...
 [9.969412  ]
 [9.969412  ]
 [9.969412  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11047629]
 [0.11047629]
 [0.11047629]
 ...
 [0.22307175]
 [0.22307175]
 [0.22307175]], shape=(1700, 1), dtype=float32)"
18,20,3,50,0.5,50,10,"tf.Tensor(
[[-4.0145396e-04]
 [-4.0145396e-04]
 [-4.0145396e-04]
 ...
 [ 9.7530184e+00]
 [ 9.7530184e+00]
 [ 9.7530184e+00]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1480962]
 [0.1480962]
 [0.1480962]
 ...
 [0.4213444]
 [0.4213444]
 [0.4213444]], shape=(1700, 1), dtype=float32)"
19,20,3,50,0.5,25,10,"tf.Tensor(
[[0.01845181]
 [0.01845181]
 [0.01845181]
 ...
 [9.816677  ]
 [9.816677  ]
 [9.816677  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.12396194]
 [0.12396194]
 [0.12396194]
 ...
 [0.39223287]
 [0.39223287]
 [0.39223287]], shape=(1700, 1), dtype=float32)"
20,20,3,50,0.5,16,10,"tf.Tensor(
[[0.05568994]
 [0.05568994]
 [0.05568994]
 ...
 [9.726338  ]
 [9.726338  ]
 [9.726338  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1295055]
 [0.1295055]
 [0.1295055]
 ...
 [0.4508347]
 [0.4508347]
 [0.4508347]], shape=(1700, 1), dtype=float32)"
21,20,3,50,0.5,50,20,"tf.Tensor(
[[0.03935432]
 [0.03935432]
 [0.03935432]
 ...
 [9.787959  ]
 [9.787959  ]
 [9.787959  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13840242]
 [0.13840242]
 [0.13840242]
 ...
 [0.42900234]
 [0.42900234]
 [0.42900234]], shape=(1700, 1), dtype=float32)"
22,20,3,50,0.5,25,20,"tf.Tensor(
[[0.04686527]
 [0.04686527]
 [0.04686527]
 ...
 [9.697162  ]
 [9.697162  ]
 [9.697162  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1278543 ]
 [0.1278543 ]
 [0.1278543 ]
 ...
 [0.43576878]
 [0.43576878]
 [0.43576878]], shape=(1700, 1), dtype=float32)"
23,20,3,50,0.5,16,20,"tf.Tensor(
[[0.06846497]
 [0.06846497]
 [0.06846497]
 ...
 [9.804861  ]
 [9.804861  ]
 [9.804861  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.12249251]
 [0.12249251]
 [0.12249251]
 ...
 [0.5029749 ]
 [0.5029749 ]
 [0.5029749 ]], shape=(1700, 1), dtype=float32)"
24,20,3,50,0.5,50,35,"tf.Tensor(
[[0.01508798]
 [0.01508798]
 [0.01508798]
 ...
 [9.647701  ]
 [9.647701  ]
 [9.647701  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13257837]
 [0.13257837]
 [0.13257837]
 ...
 [0.51444024]
 [0.51444024]
 [0.51444024]], shape=(1700, 1), dtype=float32)"
25,20,3,50,0.5,25,35,"tf.Tensor(
[[0.0638997]
 [0.0638997]
 [0.0638997]
 ...
 [9.797089 ]
 [9.797089 ]
 [9.797089 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11491836]
 [0.11491836]
 [0.11491836]
 ...
 [0.35447136]
 [0.35447136]
 [0.35447136]], shape=(1700, 1), dtype=float32)"
26,20,3,50,0.5,16,35,"tf.Tensor(
[[0.04011439]
 [0.04011439]
 [0.04011439]
 ...
 [9.742036  ]
 [9.742036  ]
 [9.742036  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13405937]
 [0.13405937]
 [0.13405937]
 ...
 [0.48899087]
 [0.48899087]
 [0.48899087]], shape=(1700, 1), dtype=float32)"
27,20,3,50,0.7,50,10,"tf.Tensor(
[[0.02534716]
 [0.02534716]
 [0.02534716]
 ...
 [9.922485  ]
 [9.922485  ]
 [9.922485  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10933207]
 [0.10933207]
 [0.10933207]
 ...
 [0.23896624]
 [0.23896624]
 [0.23896624]], shape=(1700, 1), dtype=float32)"
28,20,3,50,0.7,25,10,"tf.Tensor(
[[0.06112402]
 [0.06112402]
 [0.06112402]
 ...
 [9.908007  ]
 [9.908007  ]
 [9.908007  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10304055]
 [0.10304055]
 [0.10304055]
 ...
 [0.3022609 ]
 [0.3022609 ]
 [0.3022609 ]], shape=(1700, 1), dtype=float32)"
29,20,3,50,0.7,16,10,"tf.Tensor(
[[0.03871663]
 [0.03871663]
 [0.03871663]
 ...
 [9.954327  ]
 [9.954327  ]
 [9.954327  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.12661396]
 [0.12661396]
 [0.12661396]
 ...
 [0.2641698 ]
 [0.2641698 ]
 [0.2641698 ]], shape=(1700, 1), dtype=float32)"
30,20,3,50,0.7,50,20,"tf.Tensor(
[[0.01616956]
 [0.01616956]
 [0.01616956]
 ...
 [9.984923  ]
 [9.984923  ]
 [9.984923  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.09880197]
 [0.09880197]
 [0.09880197]
 ...
 [0.29882234]
 [0.29882234]
 [0.29882234]], shape=(1700, 1), dtype=float32)"
31,20,3,50,0.7,25,20,"tf.Tensor(
[[0.05474492]
 [0.05474492]
 [0.05474492]
 ...
 [9.926681  ]
 [9.926681  ]
 [9.926681  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11065293]
 [0.11065293]
 [0.11065293]
 ...
 [0.23155622]
 [0.23155622]
 [0.23155622]], shape=(1700, 1), dtype=float32)"
32,20,3,50,0.7,16,20,"tf.Tensor(
[[0.04674544]
 [0.04674544]
 [0.04674544]
 ...
 [9.959433  ]
 [9.959433  ]
 [9.959433  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11272227]
 [0.11272227]
 [0.11272227]
 ...
 [0.31032795]
 [0.31032795]
 [0.31032795]], shape=(1700, 1), dtype=float32)"
33,20,3,50,0.7,50,35,"tf.Tensor(
[[0.02454834]
 [0.02454834]
 [0.02454834]
 ...
 [9.925938  ]
 [9.925938  ]
 [9.925938  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1059582 ]
 [0.1059582 ]
 [0.1059582 ]
 ...
 [0.27670386]
 [0.27670386]
 [0.27670386]], shape=(1700, 1), dtype=float32)"
34,20,3,50,0.7,25,35,"tf.Tensor(
[[0.0333204]
 [0.0333204]
 [0.0333204]
 ...
 [9.92611  ]
 [9.92611  ]
 [9.92611  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11062948]
 [0.11062948]
 [0.11062948]
 ...
 [0.23732206]
 [0.23732206]
 [0.23732206]], shape=(1700, 1), dtype=float32)"
35,20,3,50,0.7,16,35,"tf.Tensor(
[[0.04289803]
 [0.04289803]
 [0.04289803]
 ...
 [9.930171  ]
 [9.930171  ]
 [9.930171  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10952707]
 [0.10952707]
 [0.10952707]
 ...
 [0.23563793]
 [0.23563793]
 [0.23563793]], shape=(1700, 1), dtype=float32)"
36,20,3,80,0.5,80,10,"tf.Tensor(
[[4.6971436e-03]
 [4.6971436e-03]
 [4.6971436e-03]
 ...
 [9.7276192e+00]
 [9.7276192e+00]
 [9.7276192e+00]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13852695]
 [0.13852695]
 [0.13852695]
 ...
 [0.44408315]
 [0.44408315]
 [0.44408315]], shape=(1700, 1), dtype=float32)"
37,20,3,80,0.5,40,10,"tf.Tensor(
[[0.01675502]
 [0.01675502]
 [0.01675502]
 ...
 [9.785923  ]
 [9.785923  ]
 [9.785923  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.14944799]
 [0.14944799]
 [0.14944799]
 ...
 [0.4692281 ]
 [0.4692281 ]
 [0.4692281 ]], shape=(1700, 1), dtype=float32)"
38,20,3,80,0.5,26,10,"tf.Tensor(
[[0.01012358]
 [0.01012358]
 [0.01012358]
 ...
 [9.748496  ]
 [9.748496  ]
 [9.748496  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.1357512 ]
 [0.1357512 ]
 [0.1357512 ]
 ...
 [0.50418127]
 [0.50418127]
 [0.50418127]], shape=(1700, 1), dtype=float32)"
39,20,3,80,0.5,80,20,"tf.Tensor(
[[1.0641532e-03]
 [1.0641532e-03]
 [1.0641532e-03]
 ...
 [9.7725096e+00]
 [9.7725096e+00]
 [9.7725096e+00]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13301471]
 [0.13301471]
 [0.13301471]
 ...
 [0.41136083]
 [0.41136083]
 [0.41136083]], shape=(1700, 1), dtype=float32)"
40,20,3,80,0.5,40,20,"tf.Tensor(
[[0.01211676]
 [0.01211676]
 [0.01211676]
 ...
 [9.779657  ]
 [9.779657  ]
 [9.779657  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13217281]
 [0.13217281]
 [0.13217281]
 ...
 [0.4911486 ]
 [0.4911486 ]
 [0.4911486 ]], shape=(1700, 1), dtype=float32)"
41,20,3,80,0.5,26,20,"tf.Tensor(
[[0.03480914]
 [0.03480914]
 [0.03480914]
 ...
 [9.763074  ]
 [9.763074  ]
 [9.763074  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11124481]
 [0.11124481]
 [0.11124481]
 ...
 [0.43246353]
 [0.43246353]
 [0.43246353]], shape=(1700, 1), dtype=float32)"
42,20,3,80,0.5,80,35,"tf.Tensor(
[[0.02838674]
 [0.02838674]
 [0.02838674]
 ...
 [9.781865  ]
 [9.781865  ]
 [9.781865  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.14475857]
 [0.14475857]
 [0.14475857]
 ...
 [0.4261478 ]
 [0.4261478 ]
 [0.4261478 ]], shape=(1700, 1), dtype=float32)"
43,20,3,80,0.5,40,35,"tf.Tensor(
[[0.02273268]
 [0.02273268]
 [0.02273268]
 ...
 [9.798006  ]
 [9.798006  ]
 [9.798006  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.11823125]
 [0.11823125]
 [0.11823125]
 ...
 [0.40265617]
 [0.40265617]
 [0.40265617]], shape=(1700, 1), dtype=float32)"
44,20,3,80,0.5,26,35,"tf.Tensor(
[[0.0324384]
 [0.0324384]
 [0.0324384]
 ...
 [9.721129 ]
 [9.721129 ]
 [9.721129 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.13806744]
 [0.13806744]
 [0.13806744]
 ...
 [0.41428986]
 [0.41428986]
 [0.41428986]], shape=(1700, 1), dtype=float32)"
45,20,3,80,0.7,80,10,"tf.Tensor(
[[5.6295795e-03]
 [5.6295795e-03]
 [5.6295795e-03]
 ...
 [9.9333897e+00]
 [9.9333897e+00]
 [9.9333897e+00]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10539644]
 [0.10539644]
 [0.10539644]
 ...
 [0.23516801]
 [0.23516801]
 [0.23516801]], shape=(1700, 1), dtype=float32)"
46,20,3,80,0.7,40,10,"tf.Tensor(
[[0.04021677]
 [0.04021677]
 [0.04021677]
 ...
 [9.977088  ]
 [9.977088  ]
 [9.977088  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10505632]
 [0.10505632]
 [0.10505632]
 ...
 [0.23108995]
 [0.23108995]
 [0.23108995]], shape=(1700, 1), dtype=float32)"
47,20,3,80,0.7,26,10,"tf.Tensor(
[[0.04622371]
 [0.04622371]
 [0.04622371]
 ...
 [9.936973  ]
 [9.936973  ]
 [9.936973  ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10644086]
 [0.10644086]
 [0.10644086]
 ...
 [0.24385956]
 [0.24385956]
 [0.24385956]], shape=(1700, 1), dtype=float32)"
48,20,3,80,0.7,80,20,"tf.Tensor(
[[0.0402145]
 [0.0402145]
 [0.0402145]
 ...
 [9.936231 ]
 [9.936231 ]
 [9.936231 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.110217  ]
 [0.110217  ]
 [0.110217  ]
 ...
 [0.28091732]
 [0.28091732]
 [0.28091732]], shape=(1700, 1), dtype=float32)"
49,20,3,80,0.7,40,20,"tf.Tensor(
[[ 0.066853]
 [ 0.066853]
 [ 0.066853]
 ...
 [10.02403 ]
 [10.02403 ]
 [10.02403 ]], shape=(1700, 1), dtype=float32)","tf.Tensor(
[[0.10848146]
 [0.10848146]
 [0.10848146]
 ...
 [0.21165328]
 [0.21165328]
 [0.21165328]], shape=(1700, 1), dtype=float32)"
