,Key,Mean,Std
87,-0.56 < Population <= -0.22,2834.8052730874847,3207.276126478181
88,Distance_to_SanFrancisco > 0.79,-4511.7712240172095,3326.445870359862
89,Tot_Rooms <= -0.54,-3467.7950221927326,4454.626544627626
90,Households <= -0.57,-1034.6548621728502,2663.8324940130324
91,Distance_to_coast > 0.19,-67696.66497507966,7193.421561469267
92,-0.69 < Median_Income <= -0.18,-49499.24727650908,4400.816138937811
93,Median_Age <= -0.85,-6979.852831262547,2625.182664617525
94,Tot_Rooms <= -0.54,-3021.7422053657997,3628.711763944475
95,-1.11 < Longitude <= 0.54,1466.4690408291792,2510.505047376375
96,-0.64 < Latitude <= 0.97,4264.622785001612,2915.8749796273123
97,-0.96 < Distance_to_LA <= -0.39,-1997.8491633010476,3077.3304130718993
98,Households <= -0.57,-1460.590972725924,2366.6375238138194
99,-0.63 < Distance_to_SanDiego <= 1.06,1430.7643858330225,2560.617808248104
100,-1.09 < Distance_to_SanJose <= 0.51,1553.1712719468255,2847.5848348293375
101,Population <= -0.56,8014.98679177709,6931.385517669692
102,-1.08 < Distance_to_SanFrancisco <= 0.56,1055.6230359664767,2854.022519927453
103,Tot_Bedrooms <= -0.58,-5348.514673354015,4936.475328597782
104,Median_Income <= -0.69,-85588.21001081205,8170.724224222758
105,Latitude > 0.97,-24282.040828972986,8120.95457924737
106,-0.41 < Distance_to_coast <= 0.19,6458.967099782275,3101.9848550524116
107,Distance_to_LA > 1.04,-11609.344748331565,5174.247796617214
108,-0.54 < Tot_Rooms <= -0.23,-2852.8707168665615,3452.492320142031
109,Median_Age <= -0.85,-7132.1178407954485,2619.217579891105
110,Distance_to_SanFrancisco <= -1.08,5497.3815592560495,3811.942293997758
111,Distance_to_SanDiego > 1.06,1946.1643084980467,2672.6475780132205
112,Longitude <= -1.11,4994.861282343684,4336.930970562942
113,-1.09 < Distance_to_SanJose <= 0.51,1111.8043978304408,2912.584318486725
114,-0.56 < Population <= -0.22,3026.83791997983,3180.372313924381
115,-0.23 < Households <= 0.28,361.510862815641,2116.8624599362906
116,-0.24 < Tot_Bedrooms <= 0.26,1369.8300180033098,2709.770104809979
117,Median_Income <= -0.69,-85502.83288791376,8132.994833440949
118,Distance_to_coast <= -0.64,46310.89742144385,7561.236671484236
119,Latitude > 0.97,-24810.914177724182,8126.990090952508
120,Distance_to_SanFrancisco <= -1.08,5206.980991441477,3599.2348017886106
121,Median_Age > 0.66,7837.587235869558,2754.7852152588857
122,Distance_to_LA > 1.04,-11649.671849438346,4972.394252045739
123,Distance_to_SanJose <= -1.09,9259.753770296884,4961.449631851134
124,-0.23 < Tot_Rooms <= 0.24,1090.0505673518326,2595.559983350201
125,Households > 0.28,2035.8058771540157,2739.2641377333653
126,Tot_Bedrooms > 0.26,8078.576972363642,5895.190147498826
127,Distance_to_SanDiego > 1.06,2141.1150599487437,2483.6991623015133
128,Longitude <= -1.11,5552.995699669639,4483.776998691117
129,Population > 0.27,-6416.563157673687,5458.586911507734
