,Key,Mean,Std
42,-0.23 < Tot_Rooms <= 0.24,-386.29789477646017,1163.135165486727
43,0.02 < Median_Age <= 0.66,73.49736800801786,581.7935781551186
44,Population > 0.27,-1259.6886275072509,1745.9834810901311
45,Households > 0.28,796.1141447430806,2073.7449834974072
46,Distance_to_SanDiego <= -0.83,721.2099578431345,2064.214769156607
47,Distance_to_SanJose > 0.77,128.39103357275843,1725.545007295801
48,-0.18 < Median_Income <= 0.46,-446.6036786044886,727.8460593963797
49,Distance_to_SanFrancisco > 0.79,-107.0919450680145,1824.3241459653884
50,Distance_to_coast <= -0.64,347.1452991053646,830.2968104412817
51,-0.96 < Distance_to_LA <= -0.39,275.07369309477576,1255.04844301156
52,Median_Age > 0.66,629.1973813492302,931.1182759393977
53,Latitude <= -0.80,226.97726518692383,1081.6545612029213
54,-0.56 < Population <= -0.22,100.3336425377287,999.4202164806065
55,-0.23 < Households <= 0.28,181.83411235215257,1043.1421479174721
56,-0.54 < Tot_Rooms <= -0.23,-427.4090837280322,1107.1735122639227
57,0.54 < Longitude <= 0.78,-134.99874924393234,784.5901489065211
58,Distance_to_SanJose > 0.77,171.57801632187451,1780.4986335851809
59,Distance_to_SanFrancisco > 0.79,-154.33480864921654,1811.9206987258879
60,-0.24 < Tot_Bedrooms <= 0.26,-239.45232460693506,1268.6349679101722
61,-0.18 < Median_Income <= 0.46,-466.43121013233895,750.0783421628529
62,Distance_to_SanDiego <= -0.83,769.7442116629161,2024.4840537956454
63,Distance_to_coast <= -0.64,398.3801328889343,775.1020020040909
64,-0.96 < Distance_to_LA <= -0.39,213.86896774820852,1265.8544596764307
65,Median_Income > 0.46,1352.0895052699066,1425.5952981333712
66,Distance_to_coast > 0.19,261.1367363400908,961.1955737530122
67,Tot_Bedrooms <= -0.58,667.8971383993676,2553.9847272994434
68,Latitude > 0.97,126.94256224252652,1528.484157562253
69,Tot_Rooms <= -0.54,968.5525714431478,2140.3165921605378
70,Distance_to_SanDiego > 1.06,-494.61051208055335,2681.331702518975
71,Households <= -0.57,-814.7423430252627,1781.1165889923952
72,-1.11 < Longitude <= 0.54,-128.6995025825853,762.3518055291045
73,0.02 < Median_Age <= 0.66,39.48126698410243,612.5973750308956
74,-1.08 < Distance_to_SanFrancisco <= 0.56,6.057960550574927,785.7696932539166
75,-1.09 < Distance_to_SanJose <= 0.51,-13.68527397472874,636.2762375562156
76,Distance_to_LA > 1.04,744.343932119561,3318.7536403814934
77,Population > 0.27,-1350.8031254171515,1743.118256958951
78,Median_Income > 0.46,1352.0895052699066,1425.5952981333712
79,Distance_to_coast > 0.19,261.1367363400908,961.1955737530122
80,Tot_Bedrooms <= -0.58,667.8971383993676,2553.9847272994434
81,Latitude > 0.97,126.94256224252652,1528.484157562253
82,Tot_Rooms <= -0.54,968.5525714431478,2140.3165921605378
83,Distance_to_SanDiego > 1.06,-494.61051208055335,2681.331702518975
84,Households <= -0.57,-814.7423430252627,1781.1165889923952
85,-1.11 < Longitude <= 0.54,-128.6995025825853,762.3518055291045
86,0.02 < Median_Age <= 0.66,39.48126698410243,612.5973750308956
87,-1.08 < Distance_to_SanFrancisco <= 0.56,6.057960550574927,785.7696932539166
88,-1.09 < Distance_to_SanJose <= 0.51,-13.68527397472874,636.2762375562156
89,Distance_to_LA > 1.04,744.343932119561,3318.7536403814934
90,Population > 0.27,-1350.8031254171515,1743.118256958951
